"","Rank","Year","Title","Artist","Lyrics"
"21",21,"1972","Little Bitty Pretty One","Jackson 5","Jump, jump
You should know, you should know that ahhh
Kris Kross is not having anything todayAs we stand there totally krossed out
We commence to make you

Jump, jump
The Mac Dad will make ya Jump Jump
The Daddy Mac will make ya Jump Jump
Kris Kross will make ya Jump Jump

Don't try to compare us to another bad little fad
I'm the Mac and I'm bad givin' ya something that you never had
I'll make ya rump rump wiggle and shake your rump
'Cause I'll be kicking the flavor that makes you wanna Jump
How high? Real high
'Cause I'm just so fly
A young loveable, huggable type of guy
And everything is to the back with a little slack
'Cause inside-out its wiggida wiggida wiggida wack
I come stompin' with somethin' pump to keep you jumpin'
R&B, rap and bullcrap is what I'm dumpin'
And ain't something about Kris Kross we all that
So when they ask do they rock say believe that

Jump, jump
The Mac Dad will make ya jump, jump
A Daddy Mac will make ya jump, jump
Kris Kross will make ya jump, jump
Uh huh uh huh
Jump, jump
The Mac Dad will make ya jump, jump
A Daddy Mac will make ya jump, jump
Kris Kross will make ya jump, jump

I like my stuff knockin' knockin'
I love it when a girl is like jockin' jockin'
The D-A-double D-Y-M-A-C
Yeah you know me
I got you jumpin' an' pumpin' an pump movin' all around
G In the mix I make ya six steps back
They try to step to the Mac then they got jacked
To the back you'll be sportin' the gear that's coincidental
Act like you know it so don't be claiming that it's mental

Two lil' kids with a flow you ain't ever heard
And none faking you can understand every word
As you listen to my cool school melody
The Daddy makes you J-U-M-P

Jump Jump
The Mac Dad will make you jump, jump
A Daddy Mac will make you jump, jump
Kris Kross will make you jump, jump
Uh huh uh huh
Jump Jump
The Mac Dad will make you jump, jump
A Daddy Mac will make you jump, jump
Kris Kross will make you jump, jump

Now, the formalities of this and that
Is that Kris Kross ain't comin' off wack
And for all ya'll sucks that don't know
Check it out

Some of them try to rhyme but they can't rhyme like this (Go, go!)
Some of them try to rhyme but they can't rhyme like this (Go, go!)
Some of them try to rhyme but they can't rhyme like this (Go, go!)
Some of them try to rhyme but they can't (Go, go!)
'Cause I'm the miggida miggida miggida Mac Daddy
The Miggida miggida miggida Mac
'Cause I'm the miggida miggida miggida Mac Daddy
The Miggida miggida miggida Mac

I make you wanna
Jump Jump
The Mac Dad will make you jump, jump
A Daddy Mac will make you jump, jump
Kris Kross will make you jump, jump
Uh huh uh huh

Jump Jump
The Mac Dad will make you jump, jump
A Daddy Mac will make you jump, jump
Kris Kross will make you jump, jump
Uh huh uh huh

Jump Jump
The Mac Dad will make you jump, jump
A Daddy Mac will make you jump, jump
Kris Kross will make you jump, jump
Uh huh uh huh

Jump Jump
The Mac Dad will make you jump, jump
A Daddy Mac will make you jump, jump
Kris Kross will make you jump, jump

Believe dat"
"22",22,"1972","I Need You","America","Like a moth to a flame
Burned by the fire
My love is blindCan't you see my desire?
That's the way love goes

Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire?

Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire
That's the way love goes
Like a moth to a flame
Burned by the fire
That's the way love goes
My love is blind
Can't you see my desire?

Come with me
Don't you worry
I'm gonna make you crazy
I'll give you the time of your life

I'm gonna take you places
You've never been before and
You'll be so happy that you came

Oooooh, I'm gonna take you there
Oo-ooh hoo-ooh oo-ooh
That's the way love goes
Hoo
That's the way love goes
That's the way love goes
That's the way love goes

Don't mind if I light candles
I like to watch us play and
Baby, I've got on what you like

Come closer
Baby closer
Reach out and feel my body
I'm gonna give you all my love
Ooh sugar don't you hurry
You've got me here all night
Just close your eyes and hold on tight

Ooh baby
Don't stop, don't stop
Go deeper
Baby deeper
You feel so good I'm gonna cry

Oooooh I'm gonna take your there
Oo-ooh hoo-ooh oo-ooh
That's the way love goes
Hoo
That's the way love goes
That's the way love goes it goes it goes
Oooh that's the way love goes
Reach out and feel my body
That's the way love goes
Dontcha know
That's the way

Like a moth to a flame
Burned by the fire
My love is blind
Can't you see my desire
Like a moth to a flame
Burned by the fire My love is blind
Can't you see my desire?
That's the way love goes"
"23",23,"1972","Rocket Man","Elton John","I swear
By the moon and the stars in the skies
And I swearLike the shadow that's by your side

I see the questions in your eyes
I know what's weighing on your mind
You can be sure I know my part

'Cause I
Stand beside you through the years
You'll only cry those happy tears
And though I make mistakes
I'll never break your heart

And I swear
By the moon and the stars in the skies
I'll be there
I swear
Like the shadow that's by your side
I'll be there

For better or worse
'Til death do us part
I'll love you with every beat of my heart
And I swear
Ooh

I'll give you every thing I can
I'll build your dreams with these two hands
We'll hang some memories on the walls

And when (and when)
Just the two of us are there
You won't have to ask if I still care
'Cause as the time turns the page
My love won't age at all

And I swear (I swear)
By the moon and the stars in the skies
I'll be there (I'll be there)
I swear (and I swear)
Like the shadow that's by your side
I'll be there (I'll be there)

For better or worse
'Til death do us part
I'll love you with every beat of my heart
And I swear (hey)

I swear (I swear)
By the moon and the stars in the skies
I'll be there (I'll be there)

I swear
Like the shadow that's by your side
I'll be there (I'll be there)

For better or worse (better or worse)
'Til death do us part (oh, no)
I'll love you with every beat of my heart
(Every single beat of my heart)
And I swear
I swear
Oh oh oh oh I
Swear"
"24",24,"1972","Taxi","Harry Chapin","To really love a woman
To understand her
You gotta know her deep insideHear every thought
See every dream
And give her wings when she wants to fly
Then when you find yourself lyin' helpless in her arms
You know you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one
She needs somebody
To tell her that it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?

To really love a woman
To let her hold you
'Til you know how she needs to be touched
You've gotta breathe her
Really taste her
'Til you can feel her in your blood
And when you can see your unborn children in her eyes
You know you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one
She needs somebody
To tell her that you'll always be together
So tell me have you ever really
Really, really ever loved a woman?

You got to give her some faith
Hold her tight
A little tenderness
You gotta treat her right
She will be there for you
Takin' good care of you
You really gotta love your woman

Then when you find yourself lyin' helpless in her arms
You know you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one
She needs somebody
To tell her that it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?
Just tell me have you ever really
Really, really ever loved a woman?
Just tell me have you ever really
Really, really ever loved a woman?"
"25",25,"1972","Someday Never Comes","Creedence Clearwater Revival","Bone-Bone-Bone-Bone
Bone, Bone, Bone, Bone, Bone
Now tell me, what ya gonna do
When it ain't nowhere to run
When judgment comes for you
When judgment comes for you
Now tell me, what ya gonna do
When it ain't nowhere to hide
When judgment comes for you
'Cause it's gonna come for you

Dead souls, nigga, this for Wally
Eazy, C's Uncle Charlie
Little Boo, but God's got him
And I'm gonna miss everybody
I done rolled with blows like AIDS
Looked at him while he laid and prayed
But destiny played too deep for me to say
Lil' Layzie came to me
Told me if he should decease, ""well, then please
Bury me by my Gran Gran
And when you can, come follow me.""

God bless you workin' on a plan to Heaven
Follow the Lord all 24/7 days
God is who we praise
Even though the Devil's all up in my face
But He keepin' me safe and in my place
Say grace to the gates we race
Without a chance to face the judge
Then I guess my soul won't budge
Grudge, because there's no mercy for thugs
Ooh, what could I do?
It's all about a family and how we roll
Can I get a witness? Let it unfold
We livin' our lives to eternal our souls, hey-o-ayo

Pray and we pray and we pray
And we pray and we pray
Every day, every day, every day, every day
And we pray and we pray
And we pray and we pray
Still we lacin'

Now follow me, roll stroll
Whether it's Hell or it's Heaven
Come let's go take a visit to the people that's long gone, they rest: Wally, Eazy, Terry, Boo
And still keepin' up with they family
Exactly how many days we got lastin'?
While you laughin' we're passin' passin' away
God, rest our souls
'Cause I know I might meet you up at the crossroads
Y'all know, y'all forever got love from them Bone Thugs, baby

Lil E-Z long gone
Really wish he could come home
But when it's time to die, gotta go, bye bye
All a lil' thug could do was cry, cry
Why'd they kill my dog?
Damn, man, I miss my Uncle Charles, y'all
And he shouldn't be gone
In front of his home, what they did to Boo was wrong
Oh so wrong, was so wrong
Gotta hold on, gotta stay strong
When the day comes
Better believe Bone got a shoulder you can lean on, lean on

Pray and we pray and we pray
And we pray and we pray
Every day, every day, every day, every day
And we pray and we pray
And we pray and we pray

[Chorus: Bone Thugs-n-Harmony]
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely

And I'm gonna miss everybody
And I'm gonna miss everybody when I'm gone
And I'm gonna miss everybody
And I'm gonna miss everybody
And I'm gonna miss everybody when I'm gone
And I'm gonna miss everybody

Livin' in a hateful world
Sendin' me (straight to Heaven)
That's how we roll
Livin' in a hateful world
Sendin' me (straight to Heaven)
That's how we roll
Livin' in a hateful world
Sendin' me (straight to Heaven)
That's how we roll
And I asked the good Lord why
He sighed, he told me we live to die

What's up with that murder, y'all?
See, my little cousin was hung
Somebody really wrong, anybody wanna test us, dawg?
And Ms. Sleazy set up Eazy to fall
You know while we sinnin'
He intendin' on endin' it when it ends
He comin' again and again and again
Now tell me, what ya gonna do?

Can somebody anybody tell me why, hey
Can somebody anybody tell me why
We die, we die?
I don't wanna die
(Oh so wrong, oh wrong, oh so wrong, oh wrong)

See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely
See you at the crossroads
So you won't be lonely"
"26",26,"1972","I Gotcha","Joe Tex","Oh
Oh, oh
Oh, ohOh, yeah

You have so many relationships in this life
Only one or two will last
You go through all the pain and strife
Then you turn your back and they're gone so fast
Ooh yeah
And they're gone so fast, yeah

Oh, so hold on to the ones who really care
In the end they'll be the only ones there
When you get old and start losing your hair
Can you tell me who will still care?
Can you tell me who will still care?
Oh, will care

Mmmbop, ba duba dop
Ba du bop, ba duba dop
Ba du bop, ba duba dop ba du
Yeah
Mmm bop, ba duba dop
Ba du bop, ba du dop, yeah
Said oh yeah
In an mmmbop they're gone
Yeah, yeah

Plant a seed, plant a flower, plant a rose
You can plant any one of those
Keep planting to find out which one grows
It's a secret no one knows
It's a secret no one knows
No one knows

Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du
Yeah
Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du
Yeah

In an mmmbop they're gone
In an mmmbop they're not there
In an mmmbop they're gone
In an mmmbop they're not there
Until you lose your hair, ooh
But you don't care, yeah

Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du, yeah
Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du
Yeah

Can you tell me?
No you can't, no you don't know
Can you tell me? Oh yeah
You say you can but you don't know
Can you tell me? (Which flower's going to grow)
No you can't, no you don't know

Can you tell me? (If it's going to be a daisy or a rose)
You say you can but you don't know
Can you tell me? (Which flower's going to grow)
No you can't, no you don't know
Can you tell me? (If it's going to be a daisy or a rose)
You say you can but you don't know
Say you can but you don't know
You don't know
You don't know

Mmmbop
Duba
Duba
Du
Yeah

Mmmbop
Duba
Duba
Du
Yeah

Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du, yeah
Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du
Oh

Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du, yeah
Mmmbop, ba duba dop
Ba du bop, ba duba dop ba du
Oh yeah, yeah

Can you tell me?
No you can't, no you don't know
Can you tell me?
You say you can but you don't know
You say you can but you don't know
Don't"
"27",27,"1972","Ask Me What You Want","Millie Jackson","The boy is mine
The boy is mine
The boy is mineThe boy is mine
The boy is mine

Excuse me! Can I please talk to you for a minute?
Uh-huh, sure
You know, you look kinda familiar
Yeah, you do too
But um, I just wanted to know
Do you know somebody named...? You know his name
Oh yeah, definitely, I know his name
Well, I just want to let you that he's mine
Ha-ha, no, no, he's mine!

You need to give it up
Had about enough
It's not hard to see
The boy is mine
I'm sorry that you
Seem to be confused
He belongs to me
The boy is mine

I think it's time we got this straight
Let's sit and talk face to face
There is no way you could mistake
Him for your man, are you insane?

You see, I know that you may be
Just a bit jealous of me
But you're blind if you can't see
That his love is all in me

You see, I tried to hesitate
I didn't wanna say what he told me
He said without me, he couldn't make it
Through the day, ain't that a shame?

But maybe you misunderstood
'Cause I can't see how he could
Wanna change something that's so good
All my love was all it took (the boy is mine)

You need to give it up
Had about enough (enough)
It's not hard to see (oh)
The boy is mine (boy is mine)
I'm sorry that you (sorry that you)
Seem to be confused (confused)
He belongs to me (oh)
The boy is mine

Must you do the things you do?
You keep on acting like a fool
You need to know it's me, not you
And if you didn't know it, girl, it's true

I think that you should realize
And try to understand why
He is a part of my life
I know it's killing you inside

You can say what you wanna say
What we have, you can't take
From the truth, you can't escape
I can tell the real from the fake

When will you get the picture?
You're the past, I'm the future
Get away, it's my time to shine
If you didn't know, the boy is mine, oh (the boy is mine)

You need to give it up
Had about enough (enough)
It's not hard to see (to see)
The boy is mine (the boy is mine)
I'm sorry that you (sorry that you)
Seem to be confused (seem to be confused)
He belongs to me (he belongs to me)
The boy is mine (the boy is mine)

You need to give it up (ooh)
Had about enough (had about enough)
It's not hard to see
The boy is mine (he's mine, he's mine, he's mine, he's mine)
I'm sorry that you (I'm so sorry)
Seem to be confused (you seem to be confused)
He belongs to me (he belongs to me)
The boy is mine

I can't destroy this love I've found
Your silly games, I won't allow
The boy is mine without a doubt
You might as well throw in the towel
What makes you think that he wants you
When I'm the one that brought him to
The special places that's in my heart?
He was my love right from the start

You need to give it up (give it on up)
Had about enough (had about enough)
It's not hard to see (it's not hard to see)
The boy is mine (the boy is mine, oh)
I'm sorry that you (I'm sorry that you)
Seem to be confused (seem to be confused)
He belongs to me (he belongs to me)
The boy is mine (no, no)

You need to give it up (you need to give it up)
Had about enough (about enough)
It's not hard to see (it's not hard to see)
The boy is mine (the boy is mine)
I'm sorry that you (mine, oh)
Seem to be confused (seem to be confused)
He belongs to me (he belongs to me)
The boy is mine (the boy is mine)

You need to give it up (not yours)
Had about enough (but mine, not yours)
It's not hard to see (but mine, not yours)
The boy is mine (but mine)
I'm sorry that you
Seem to be confused
He belongs to me
The boy is mine"
"28",28,"1972","Betcha By Golly, Wow","The Stylistics Featuring Russell Thompkins,Jr.","She's into superstitions
Black cats and voodoo dolls
I feel a premonitionThat girl's gonna make me fall

She's into new sensations
New kicks in the candlelight
She's got a new addiction
For every day and night

She'll make you take your clothes off and go dancing in the rain
She'll make you live her crazy life, but she'll take away your pain
Like a bullet to your brain
Come on!

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Come on!
Livin' la vida loca
Come on!
She's livin' la vida loca

Woke up in New York City
In a funky cheap hotel
She took my heart, and she took my money
She must've slipped me a sleeping pill

She never drinks the water and
Makes you order French champagne
Once you've had a taste of her
You'll never be the same
Yeah, she'll make you go insane
Come on!

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Come on!
Livin' la vida loca
She's livin' la vida loca

She'll make you take your clothes off and go dancing in the rain
She'll make you live her crazy life, but she'll take away your pain
Like a bullet to your brain
Come on!

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Come on!

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Come on!
Livin' la vida loca
Come on!
She's livin' la vida loca

Come on!
Gotta la vida loca!
Gotta, gotta, gotta la vida loca!
Gotta, gotta, gotta la vi'..."
"29",29,"1972","Isn't Life Strange","The Moody Blues",""
"30",30,"1972","Me And Julio Down By The Schoolyard","Paul Simon","Where′s all mah soul sistas
Lemme hear ya'll flow sistas
Hey sista, go sista, soul sista, flow sista
Hey sista, go sista, soul sista, go sista

He met Marmalade down in old Moulin Rouge
Struttin′ her stuff on the street
She said, ""Hello, hey Joe, you wanna give it a go?"" Oh! uh huh

Giuchie, Giuchie, ya ya dada (Hey hey hey)
Giuchie, Giuchie, ya ya here (here)
Mocha Chocalata ya ya (oh yea)
Creole lady Marmalade

What What, What what

Ooh oh
Voulez vous coucher avec moi ce soir
Voulez vous coucher avec moi

Yea yea yea yea

He sat in her boudoir while she freshened up
Boy drank all that Magnolia wine
On her black satin sheets is where he started to freak
Yeah

Giuchie, Giuchie, ya ya dada (da-da-da)
Giuchie, Giuchie, ya ya here (here ohooh yea yeah)
Mocha Choca lata ya ya (yea)
Creole lady Marmalade
Voulez vous coucher avec moi ce soir (ce soir, what what what)
Voulez vous coucher avec moi

Yea yea uh
He come through with the money and the garter bags
I let him know we bout that cake straight up the gate uh
We independent women, some mistake us for whores
I'm sayin', why spend mine when I can spend yours
Disagree? Well that′s you and I′m sorry
Imma keep playing these cats out like Atari
Wear ideal shoes get love from the dudes
4 bad ass chicks from the Moulin Rouge
Hey sistas, soul sistas, betta get that dough sistas
We drink wine with diamonds in the glass
By the case the meaning of expensive taste
If you wanna Giuchie, Giuchie, ya ya
Mocha Chocalate-a what?
Real Lady Marmalade
One more time C'mon now
Marmalade... Lady Marmalade... Marmalade...

Hey Hey Hey!
Touch of her skin feeling silky smooth
Color of cafe au lait alright
Made the savage beast inside roar until he cried,
More-more-more

Now he′s back home doin' 9 to 5

Sleepin′ the grey flannel life

But when he turns off to sleep memories creep,
More-more-more

Giuchie, Giuchie, ya ya dada (da daeaea yea)
Giuchie, Giuchie, ya ya here (ooh)
Mocha Choca lata ya ya (yea)
Creole lady Marmalade
Voulez vous coucher avec moi ce soir (ce soir)
Voulez vous coucher avec moi (all my sistas yea)
Voulez vous coucher avec moi ce soir (ce soir)
Voulez vous coucher avec moi (C'Mon! uh)

Christina...(oh Leaeaa Oh)
Pink... (Lady Marmalade)
Lil′ Kim...(hey Hey! uh uh uh uh...)
Mya...(Oh Oh oooo)
Rot wilder baby...(baby)
Moulin Rouge... (0h)
Misdemeanor here...
Creole Lady Marmalade Ooh Yes..."
